deviceID,patchID,gameID,encounterLevel,roomName,turnID,castOrder,cardColor,cardName,heldFlag,replacedFlag,unplayedFlag,castFlag,casterName,targetCount,targetName,vitDamageDone,shieldDamageDone,manaGenerated,manaUsed
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Red,Massive Swing,FALSE,TRUE,FALSE,FALSE,None,None,None,None,None,0,2
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Red,Massive Swing,FALSE,TRUE,FALSE,FALSE,None,None,None,None,None,0,2
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Blue,Haste,FALSE,FALSE,FALSE,TRUE,Mage,1,|Berzerker|,0,0,0,0
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Green,Attack,FALSE,FALSE,FALSE,TRUE,Archer,1,|,2,0,1,0
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Green,Boomerang,FALSE,FALSE,TRUE,FALSE,None,None,None,None,None,0,1
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Red,Massive Swing,FALSE,FALSE,TRUE,FALSE,None,None,None,None,None,0,2
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,0,0,Red,Attack,TRUE,FALSE,FALSE,FALSE,None,None,None,None,None,1,0
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,1,0,Enemy,Crystalize,FALSE,FALSE,FALSE,TRUE,Agg M Enemy Explode(Clone),1,|Agg M Enemy Explode(Clone)|,1,0,0,1
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,1,0,Red,Attack,FALSE,FALSE,FALSE,TRUE,Berzerker,1,|Agg M Enemy Explode(Clone)|,4,0,1,0
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,0,Medium Room 2,1,0,Blue,Attack,FALSE,TRUE,FALSE,FALSE,None,None,None,None,None,1,0
