deviceID,patchID,gameID,worldLevel,encounterLevel,cardColor,cardName,energyCost,manaCost,chosenFlag,removedFlag,finalDeckListFlag
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Massive Swing,0,2,FALSE,TRUE,FALSE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Overdrive,0,0,TRUE,FALSE,FALSE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Overdrive,0,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Massive Swing,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Massive Swing,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Red,Massive Swing,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Haste,0,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Marked for Death,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Smite,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Blue,Smite,0,2,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Boomerang,0,1,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Boomerang,0,1,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Boomerang,0,1,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,0,Green,Boomerang,0,1,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,1,Red,Massive Swing,0,2,FALSE,TRUE,FALSE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,1,Red,Get Over Here,0,1,TRUE,FALSE,FALSE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,1,Red,Overdrive,0,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,1,Red,Attack,1,0,FALSE,FALSE,TRUE
84c93676be7975ba3882f25ee48caafced6d1125,0.4.0,4/13/2020 22:07,,1,Red,Attack,1,0,FALSE,FALSE,TRUE
