deviceID,patchID,gameID,worldLevel,encounterLevel,roomName,passiveGold,overkillGold,totalGoldAtRoomEnd
84c93676be7975ba3882f25ee48caafced6d1125,0.4.1,,,0,missing,20,10,30
84c93676be7975ba3882f25ee48caafced6d1125,0.4.1,,,0,missing,20,28,48
84c93676be7975ba3882f25ee48caafced6d1125,0.4.1,,,1,missing,20,51,119
84c93676be7975ba3882f25ee48caafced6d1125,0.4.1,,,2,missing,20,33,172
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,0,missing,0,21,21
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,0,missing,20,0,41
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,1,missing,0,34,75
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,1,missing,20,0,95
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,2,missing,0,37,132
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,2,missing,20,0,152
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,3,missing,0,52,204
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,3,missing,20,0,224
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,4,missing,0,20,244
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,4,missing,20,0,264
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,6,missing,20,0,284
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,8/24/2020 22:28,,6,missing,0,63,347
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,0,missing,0,14,14
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,0,missing,20,0,34
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,1,missing,0,36,70
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,1,missing,20,0,90
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,2,missing,20,0,110
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,2,missing,0,21,131
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,4,missing,0,76,207
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,4,missing,20,0,227
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,6,missing,0,67,294
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,6,missing,20,0,314
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,7,missing,0,115,429
84c93676be7975ba3882f25ee48caafced6d1125,0.4.3.2,9/1/2020 20:31,,7,missing,20,0,449
